"place","check_in","check_out","hotel name","no_rooms","group_adults","hotel_link"
"Singapore","10/5/2017","11/5/2017","Capella Singapore","1","2","https://www.booking.com/hotel/sg/capella-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=4272505_91900956_0_1_0;all_sr_blocks=4272505_91900956_0_1_0;room1=A%2CA;hpos=1;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X1;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","PARKROYAL on Beach Road","1","2","https://www.booking.com/hotel/sg/parkroyal-on-beach-road.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2513501_95148952_0_2_0;all_sr_blocks=2513501_95148952_0_2_0;room1=A%2CA;hpos=2;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X2;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Treetops Executive Residences","1","2","https://www.booking.com/hotel/sg/treetops-executive-residences.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;soh=1;highlighted_blocks=;all_sr_blocks=;room1=A%2CA;soldout=0%2C0;hpos=3;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X3;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Rendezvous Hotel Singapore by Far East Hospitality","1","2","https://www.booking.com/hotel/sg/rendezvous.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2500209_95148797_0_2_0;all_sr_blocks=2500209_95148797_0_2_0;room1=A%2CA;hpos=4;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X4;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Mandarin Orchard Singapore","1","2","https://www.booking.com/hotel/sg/mandarin.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2502801_94239763_2_2_0;all_sr_blocks=2502801_94239763_2_2_0;room1=A%2CA;hpos=5;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X5;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Pan Pacific Orchard","1","2","https://www.booking.com/hotel/sg/pan-pacific-orchard.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2504702_95148833_0_2_0;all_sr_blocks=2504702_95148833_0_2_0;room1=A%2CA;hpos=6;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X6;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","M Social Singapore","1","2","https://www.booking.com/hotel/sg/m-social-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=170489701_90020856_0_2_0;all_sr_blocks=170489701_90020856_0_2_0;room1=A%2CA;hpos=7;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X7;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Village Hotel Changi by Far East Hospitality","1","2","https://www.booking.com/hotel/sg/changi-village-a-far-east.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2511901_86354985_0_2_0;all_sr_blocks=2511901_86354985_0_2_0;room1=A%2CA;hpos=8;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X8;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Village Hotel Katong by Far East Hospitality","1","2","https://www.booking.com/hotel/sg/the-east-village.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=35954901_86355452_0_2_0;all_sr_blocks=35954901_86355452_0_2_0;room1=A%2CA;hpos=9;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X9;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Somerset Liang Court Singapore","1","2","https://www.booking.com/hotel/sg/somerset-liang-court.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;soh=1;highlighted_blocks=;all_sr_blocks=;room1=A%2CA;soldout=0%2C0;hpos=10;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X10;from=searchresults;highlight_room=#hotelTmpl"
